Unit,stats_4Ghz_1V.txt,stats_1Ghz_.8V.txt
CUs15.wavefronts4,0,0
CUs15.wavefronts5,0,0
CUs15.wavefronts6,0,0
CUs15.wavefronts7,0,0
CUs15.wavefronts8,0,0
CUs15.wavefronts9,0,0
CUs15.wavefronts10,237667,62349
CUs15.wavefronts11,232568,58630
CUs15.wavefronts12,228790,57855
CUs15.wavefronts13,228670,60102
CUs15.wavefronts14,0,0
CUs15.wavefronts15,0,0
CUs15.wavefronts16,0,0
CUs15.wavefronts17,0,0
CUs15.wavefronts18,0,0
CUs15.wavefronts19,0,0
CUs15.wavefronts20,243270,64276
CUs15.wavefronts21,253941,66413
CUs15.wavefronts22,254072,66743
CUs15.wavefronts23,237762,63003
CUs15.wavefronts24,0,0
CUs15.wavefronts25,0,0
CUs15.wavefronts26,0,0
CUs15.wavefronts27,0,0
CUs15.wavefronts28,0,0
CUs15.wavefronts29,0,0
CUs15.wavefronts30,243543,58777
CUs15.wavefronts31,241554,55728
CUs15.wavefronts32,241410,56852
CUs15.wavefronts33,250553,61291
CUs15.wavefronts34,0,0
CUs15.wavefronts35,0,0
CUs15.wavefronts36,0,0
CUs15.wavefronts37,0,0
CUs15.wavefronts38,0,0
CUs15.wavefronts39,0,0
CUs16.wavefronts0,217658,57453
CUs16.wavefronts1,220006,54825
CUs16.wavefronts2,215909,54086
CUs16.wavefronts3,216041,55495
CUs16.wavefronts4,0,0
CUs16.wavefronts5,0,0
CUs16.wavefronts6,0,0
CUs16.wavefronts7,0,0
CUs16.wavefronts8,0,0
CUs16.wavefronts9,0,0
CUs16.wavefronts10,230288,63801
CUs16.wavefronts11,225392,59914
CUs16.wavefronts12,221614,59139
CUs16.wavefronts13,221494,61473
CUs16.wavefronts14,0,0
CUs16.wavefronts15,0,0
CUs16.wavefronts16,0,0
CUs16.wavefronts17,0,0
CUs16.wavefronts18,0,0
CUs16.wavefronts19,0,0
CUs16.wavefronts20,223707,64492
CUs16.wavefronts21,235173,67554
CUs16.wavefronts22,235295,67884
CUs16.wavefronts23,223249,63775
CUs16.wavefronts24,0,0
CUs16.wavefronts25,0,0
CUs16.wavefronts26,0,0
CUs16.wavefronts27,0,0
CUs16.wavefronts28,0,0
CUs16.wavefronts29,0,0
CUs16.wavefronts30,222228,58275
CUs16.wavefronts31,219785,55303
CUs16.wavefronts32,219641,56382
CUs16.wavefronts33,229718,61813
CUs16.wavefronts34,0,0
CUs16.wavefronts35,0,0
CUs16.wavefronts36,0,0
CUs16.wavefronts37,0,0
CUs16.wavefronts38,0,0
CUs16.wavefronts39,0,0
CUs17.wavefronts0,217892,57450
CUs17.wavefronts1,220006,54825
CUs17.wavefronts2,215909,54086
CUs17.wavefronts3,216041,55495
CUs17.wavefronts4,0,0
CUs17.wavefronts5,0,0
CUs17.wavefronts6,0,0
CUs17.wavefronts7,0,0
CUs17.wavefronts8,0,0
CUs17.wavefronts9,0,0
CUs17.wavefronts10,230527,63797
CUs17.wavefronts11,225392,59914
CUs17.wavefronts12,221614,59139
CUs17.wavefronts13,221494,61473
CUs17.wavefronts14,0,0
CUs17.wavefronts15,0,0
CUs17.wavefronts16,0,0
CUs17.wavefronts17,0,0
CUs17.wavefronts18,0,0
CUs17.wavefronts19,0,0
CUs17.wavefronts20,223834,64489
CUs17.wavefronts21,235173,67554
CUs17.wavefronts22,235295,67884
CUs17.wavefronts23,223249,63775
CUs17.wavefronts24,0,0
CUs17.wavefronts25,0,0
CUs17.wavefronts26,0,0
CUs17.wavefronts27,0,0
