CU,clock,Cycles,IPC,IPC_delta,CPI,CPI_delta,Frequency,Voltage,EDP,ED2P,Sensitivity
12,11222935000000,120506,0.0379234,0.006,26.3689,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.48351
12,11222936000000,122506,0.0384063,0.0675,26.0374,14.8148,2000000000.0,0.9,6e-09,4.44444e-17,0.923077
12,11222937000000,126506,0.0374528,0.00825,26.7003,121.212,4000000000.0,1.0,3.0303e-08,9.18274e-16,1.59516
12,11222938000000,130506,0.0364887,0.006,27.4057,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.85091
12,11222939000000,132506,0.0372059,0.084,26.8775,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,0.923077
12,11222940000000,136506,0.0362914,0.006,27.5547,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.48351
12,11222941000000,138506,0.0369803,0.084,27.0414,11.9048,2000000000.0,0.9,4.82143e-09,2.8699e-17,0.923077
12,11222942000000,142506,0.0361108,0.006,27.6926,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.48351
12,11222943000000,144506,0.0363376,0.0525,27.5197,19.0476,2000000000.0,0.9,7.71429e-09,7.34694e-17,0.923077
12,11222944000000,148506,0.0357831,0.01575,27.9462,63.4921,4000000000.0,1.0,1.5873e-08,2.51953e-16,1.50617
12,11222945000000,152506,0.0350019,0.006,28.5699,166.667,4000000000.0,1.0,4.16667e-08,1.73611e-15,1.48166
12,11222946000000,153506,0.0358683,0.168,27.8798,5.95238,1000000000.0,0.8,3.80952e-09,2.26757e-17,0.923077
12,11222947000000,157506,0.0350336,0.003,28.544,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,1.1318
12,11222948000000,158506,0.0359482,0.18,27.8178,5.55556,1000000000.0,0.8,3.55556e-09,1.97531e-17,0.461538
12,11222949000000,162506,0.0351372,0.003,28.4599,333.333,4000000000.0,1.0,8.33333e-08,6.94444e-15,1.14263
12,11222950000000,163506,0.0360231,0.18,27.7599,5.55556,1000000000.0,0.8,3.55556e-09,1.97531e-17,0.461538
12,11222951000000,167506,0.0351629,0.0,28.439,0.0,4000000000.0,1.0,0.0,0.0,1.14263
12,11222952000000,168506,0.0350255,0.012,28.5507,83.3333,1000000000.0,0.8,5.33333e-08,4.44444e-15,1.91172e-08
12,11222953000000,172506,0.0363697,0.093,27.4954,10.7527,4000000000.0,1.0,2.68817e-09,7.22627e-18,3.19508
12,11222954000000,174506,0.036589,0.0555,27.3306,18.018,2000000000.0,0.9,7.2973e-09,6.57414e-17,4.28583
12,11222955000000,176506,0.03967,0.3085,25.2079,3.24149,2000000000.0,0.9,1.3128e-09,2.12772e-18,2.95384
12,11222956000000,177506,0.0401113,0.118,24.9306,8.47458,1000000000.0,0.8,5.42373e-09,4.59638e-17,0.485
12,11222957000000,178506,0.0408558,0.173,24.4763,5.78035,1000000000.0,0.8,3.69942e-09,2.13839e-17,0.449533
12,11222958000000,179506,0.0432632,0.473,23.1143,2.11416,1000000000.0,0.8,1.35307e-09,2.8606e-18,0.773378
12,11222959000000,180506,0.0436551,0.114,22.9069,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.670804
12,11222960000000,181506,0.0455853,0.394,21.9369,2.53807,1000000000.0,0.8,1.62437e-09,4.1227600000000004e-18,0.155452
12,11222961000000,182506,0.0467601,0.26,21.3858,3.84615,1000000000.0,0.8,2.46154e-09,9.467460000000001e-18,0.835563
12,11222962000000,183506,0.0471265,0.114,21.2195,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.604928
12,11222963000000,184506,0.0501718,0.609,19.9315,1.64204,1000000000.0,0.8,1.0509e-09,1.7256200000000001e-18,0.123953
12,11222964000000,185506,0.0504997,0.111,19.8021,9.00901,1000000000.0,0.8,5.76577e-09,5.19438e-17,0.722414
12,11222965000000,186506,0.0506096,0.071,19.7591,14.0845,1000000000.0,0.8,9.01408e-09,1.26959e-16,0.439222
12,11222966000000,187506,0.0537049,0.631,18.6203,1.58479,1000000000.0,0.8,1.01426e-09,1.60739e-18,0.280106
12,11222967000000,188506,0.0540248,0.114,18.51,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.661064
12,11222968000000,189506,0.0552225,0.281,18.1086,3.55872,1000000000.0,0.8,2.27758e-09,8.10527e-18,0.207207
12,11222969000000,190506,0.0568906,0.373,17.5776,2.68097,1000000000.0,0.8,1.71582e-09,4.6000500000000004e-18,0.972842
12,11222970000000,191506,0.0571888,0.114,17.4859,8.77193,1000000000.0,0.8,5.61404e-09,4.92459e-17,0.623019
12,11222971000000,192506,0.0594423,0.491,16.823,2.03666,1000000000.0,0.8,1.30346e-09,2.6547100000000003e-18,0.136871
12,11222972000000,193506,0.0599775,0.163,16.6729,6.13497,1000000000.0,0.8,3.92638e-09,2.40882e-17,0.846583
