CU,clock,Cycles,IPC,CPI,CPI_delta,ED2P,EDP,Frequency,IPC_delta,Sensitivity,Voltage
3,20118823000000,92000,0.0181087,55.2221,83.3333,4.34028e-16,2.08333e-08,4e+09,0.012,0,1
3,20118824000000,96000,0.0175208,57.0749,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118825000000,100000,0.01682,59.453,0,0,0,4e+09,0,0,1
3,20118826000000,104000,0.0164808,60.6768,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118827000000,108000,0.0160185,62.4277,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118828000000,112000,0.0157321,63.5641,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118829000000,113000,0.0157345,63.5546,62.5,2.5e-15,4e-08,1e+09,0.016,0,0.8
3,20118830000000,117000,0.0154701,64.6409,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118831000000,121000,0.0150909,66.2651,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118832000000,125000,0.014864,67.2766,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118833000000,129000,0.0145271,68.8367,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118834000000,133000,0.0143308,69.7796,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118835000000,137000,0.0140292,71.2799,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118836000000,141000,0.0138582,72.1597,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118837000000,145000,0.0134759,74.2068,0,0,0,4e+09,0,0,1
3,20118838000000,149000,0.0132215,75.6345,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118839000000,153000,0.013085,76.4236,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118840000000,157000,0.0128535,77.7998,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118841000000,161000,0.0127329,78.5366,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118842000000,165000,0.0125212,79.8645,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118843000000,169000,0.0124142,80.5529,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118844000000,173000,0.0122197,81.8354,250,3.90625e-15,6.25e-08,4e+09,0.004,0,1
3,20118845000000,177000,0.0121243,82.479,125,9.76562e-16,3.125e-08,4e+09,0.008,0,1
3,20118846000000,181000,0.0119227,83.874,333.333,6.94444e-15,8.33333e-08,4e+09,0.003,0,1
3,20118847000000,185000,0.0123135,81.2116,33.3333,6.94444e-17,8.33333e-09,4e+09,0.03,0,1
3,20118848000000,189000,0.0121164,82.5328,333.333,6.94444e-15,8.33333e-08,4e+09,0.003,0,1
3,20118849000000,193000,0.012487,80.083,33.3333,6.94444e-17,8.33333e-09,4e+09,0.03,0,1
3,20118850000000,197000,0.0122944,81.3377,333.333,6.94444e-15,8.33333e-08,4e+09,0.003,0,1
